,id,caller_id,name,address_city,address,phone_number,county,chain,treat,call_attempts,day,time,female_rep,esl_rep,script_budget_upcharge,script_knowledge,quote_point,quote_range_low,quote_range_high,no_quote_reason,quote_breakdown,notes,analyzed_comment,range_provided,enrolled_subject,outcome,returned_call,failed_callback,does_not_perform_service,onsite_additional_info,female_caller,esl_caller,non_complier,attrition,esl_affinity,gender_affinity,gender_esl_affinity,no_quote_reason_NA,no_quote_reason_does_not_provide_this_service,no_quote_reason_no_contact_after_2_tries,no_quote_reason_other,no_quote_reason_refused_to_provide_quote,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
11,11,3,"Mando’s Complete Auto Care",kent,"24242 104th Ave SE Kent, WA 98030","(253) 236-5170",king,0,0,1,Saturday,15,0,1,0,0,594,,,,0,"Wait for voicemail or callback",failed_callback,0,1,594,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,47.383818,-122.201671,1,rooftop,24242,"104th Ave SE",,,Kent,WA,"King County",98030,US,King
12,12,1,"Kelly’s Auto Repair",auburn,"222 A St SE Ste B Auburn, WA 98002","(253) 288-9221",king,0,1,2,Friday,10,1,0,0,0,,,,other,,"failed call back",failed_callback,0,1,,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,47.304936,-122.227267,1,rooftop,222,"A St SE",Ste,B,Auburn,WA,"King County",98002,US,King
13,13,5,"Sound Diesel Performance",auburn,"38 Western St Auburn, WA 98001","(206) 229-7006",king,0,1,2,Monday,13,0,0,0,0,580,,,,0,,no_comment,0,1,580,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,47.308144,-122.243158,1,range_interpolation,38,"Western St",,,Auburn,WA,"King County",98001,US,"TIGER/Line® dataset from the US Census Bureau"
14,14,1,"1st Auto Service",auburn,"1021 Auburn Way S Auburn, WA 98002","(253) 939-4816",king,0,1,1,Monday,9,0,1,0,0,500,,,,0,"rough guess, his computer was down and he couldn't look it up",indicated_additional_cost,0,1,500,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,47.298133,-122.21937,1,rooftop,1021,"Auburn Way S",,,Auburn,WA,"King County",98002,US,King
15,15,3,"Verdant Auto Service",auburn,"1520 Auburn Way N Auburn, WA 98002","(253) 929-6245",king,0,0,1,Wednesday,15,,,,,,,,,,"Went on voicemail - call back later",no_phone_contact,0,0,,0,0,0,0,1,1,0,0,,,,1,0,0,0,0,47.321687,-122.220583,1,rooftop,1520,"Auburn Way N",,,Auburn,WA,"King County",98002,US,King
16,16,3,"Import Auto Repair",kent,"22644 85th Pl S Kent, WA 98031","(253) 850-1505",king,0,0,1,Tuesday,13,0,0,0,1,800,,,,0,,no_comment,0,1,800,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,47.398488,-122.225032,1,rooftop,22644,"85th Pl S",,,Kent,WA,"King County",98031,US,King
17,17,1,"University Place Auto Service","university place","6904 27th St W University Place, WA 98466","(253) 565-4165",pierce,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.235124,-122.529493,1,rooftop,6904,"27th St W",,,"University Place",WA,"Pierce County",98466,US,Pierce
18,18,5,"Auburn Muffler Brake & Radiator",auburn,"1301 Auburn Way S Auburn, WA 98002","(253) 939-1979",king,0,1,2,Thursday,14,,,,,,,,no_contact_after_2_tries,,,no_comment,0,1,,0,0,0,0,1,1,0,0,,,,0,0,1,0,0,47.296024,-122.216321,1,rooftop,1301,"Auburn Way S",,,Auburn,WA,"King County",98002,US,King
19,19,5,"Maple Valley Auto Repair and Muffler","maple valley","23829 SE 264th St Maple Valley, WA 98038","(425) 432-3799",king,0,1,1,Friday,14,1,0,0,1,,700,800,,0,,no_comment,1,1,750,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,47.364882,-122.023124,1,rooftop,23829,"SE 264th St",,,"Maple Valley",WA,"King County",98038,US,King
20,20,1,"Brad’s Automotive","federal way","1714 S 341st Pl Bldg F-6 Federal Way, WA 98003","(253) 661-6273",king,0,1,1,Wednesday,11,0,0,0,0,667,,,,0,"specified without tax",indicated_additional_cost,0,1,667,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,47.296767,-122.311205,1,rooftop,1714,"S 341st Pl",Ste,F6,"Federal Way",WA,"King County",98003,US,King
21,21,5,"Simply Auto Repair","federal way","33442 33rd Pl S Federal Way, WA 98001","(253) 951-3080",king,0,1,2,Monday,13,0,0,0,0,664,,,,1,,no_comment,0,1,664,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,47.301417,-122.289663,1,rooftop,33442,"33rd Pl S",,,"Federal Way",WA,"King County",98001,US,King
22,22,3,"King’s Autoworks",tacoma,"8425 Pacific Hwy E Tacoma, WA 98422","(253) 517-9977",pierce,0,0,1,Tuesday,13,1,0,0,0,,,,does_not_provide_this_service,,"Dont do personal vehicles",does_not_perform_service,0,1,,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,47.263242,-122.336437,1,rooftop,8425,"Pacific Hwy E",,,Tacoma,WA,"Pierce County",98422,US,Pierce
23,23,1,"All Auto Repair","federal way","32610 Pacific Hwy S Federal Way, WA 98003","(253) 661-3788",king,1,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.309599,-122.313315,1,range_interpolation,32610,"Pacific Hwy S",,,"Federal Way",WA,"King County",98003,US,"TIGER/Line® dataset from the US Census Bureau"
24,24,7,"InFront Automotive",auburn,"4054 Auburn Way N Ste 4 Auburn, WA 98002","(253) 236-8044",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.344327,-122.2205,1,rooftop,4054,"Auburn Way N",Ste,4,Auburn,WA,"King County",98002,US,King
25,25,1,"Herb’s Complete Auto Repair",auburn,"2904 A St SE Auburn, WA 98002","(253) 288-9584",king,0,1,1,Tuesday,12,0,0,0,0,897.25,,,,0,,no_comment,0,1,897.25,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,47.282238,-122.228276,1,rooftop,2904,"A St SE",,,Auburn,WA,"King County",98002,US,King
26,26,5,"Auburn Auto Clinic",auburn,"4044 Auburn Way N AUBURN, WA 98002","(253) 856-0397",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,1,0,0,,,,1,0,0,0,0,47.343922,-122.220232,1,rooftop,4044,"Auburn Way N",,,Auburn,WA,"King County",98002,US,King
27,27,5,"Rempt Motor Company and Auto Repair",auburn,"3810 Auburn Way N Ste 402 Auburn, WA 98002","(253) 931-0500",king,0,1,1,Friday,11,0,0,0,0,772,,,,0,,no_comment,0,1,772,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,47.341774,-122.221269,1,rooftop,3810,"Auburn Way N",Ste,402,Auburn,WA,"King County",98002,US,King
28,28,7,"Mechanic Northwest","federal way","30402 Pacific Hwy S Federal Way, WA 98003","(206) 212-6970",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.329506,-122.311858,1,rooftop,30402,"Pacific Hwy S",,,"Federal Way",WA,"King County",98003,US,King
29,29,5,"Pinnacle Auto Service",auburn,"4050 Auburn Way N Ste 1 Auburn, WA 98002","(253) 850-6234",king,0,1,1,Friday,14,0,0,0,0,725,,,,0,,no_comment,0,1,725,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,47.344342,-122.219855,1,rooftop,4050,"Auburn Way N",Ste,1,Auburn,WA,"King County",98002,US,King
30,30,3,"Do Rite Auto Repair",kent,"21225 84th Ave S Kent, WA 98032","(253) 854-1185",king,0,0,1,Tuesday,13,0,0,0,0,730.24,,,,0,"Taxes additional",additional_context,0,1,730.24,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,47.411387,-122.228495,1,rooftop,21225,"84th Ave S",,,Kent,WA,"King County",98032,US,King
31,31,7,"Greg’s Japanese Auto",kent,"15323 SE 272nd St Ste 106 Kent, WA 98042","(253) 638-8500",king,1,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.357545,-122.136716,1,rooftop,15323,"SE 272nd St",Ste,106,Kent,WA,"King County",98042,US,King
32,32,1,"Firestone Complete Auto Care",auburn,"535 15th St NE Auburn, WA 98002","(253) 205-0880",king,1,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.321205,-122.222686,1,rooftop,535,"15th St NE",,,Auburn,WA,"King County",98002,US,King
33,33,1,"Doxon Toyota",auburn,"3405 N Auburn Way Auburn, WA 98002","(253) 833-4555",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.338024,-122.223069,0.9,rooftop,3405,"Auburn Way N",,,Auburn,WA,"King County",98002,US,King
34,34,5,"Eschen Automotive",bellevue,"12005 NE 12th St Ste 14 Bellevue, WA 98005","(425) 456-0466",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,1,0,0,,,,1,0,0,0,0,47.619808,-122.17884,1,rooftop,12005,"NE 12th St",Ste,14,Bellevue,WA,"King County",98005,US,King
35,35,5,"Tru-Line Bellevue",bellevue,"1423 130th Ave NE Bellevue, WA 98005","(425) 462-0013",king,1,1,2,Friday,14,,,,,,,,no_contact_after_2_tries,,,no_comment,0,1,,0,0,0,0,1,1,0,0,,,,0,0,1,0,0,47.622826,-122.167505,1,rooftop,1423,"130th Ave NE",,,Bellevue,WA,"King County",98005,US,King
36,36,7,"Ishii Motor Industries Auto Repair",bellevue,"638 116th Ave NE Ste B Bellevue, WA 98004","(425) 450-0498",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.616636,-122.184479,1,rooftop,638,"116th Ave NE",Ste,B,Bellevue,WA,"King County",98004,US,King
37,37,3,"LBR Auto Repair",bellevue,"13030 Bel-Red Rd Bellevue, WA 98005","(425) 365-0839",king,0,0,1,Wednesday,15,,,,,,,,no_contact_after_2_tries,,"Not in service anymore",no_phone_contact,0,0,,0,0,0,0,1,1,0,0,,,,0,0,1,0,0,47.622234,-122.165678,1,rooftop,13030,"Bel Red Rd",,,Bellevue,WA,"King County",98005,US,King
38,38,5,"Auto Dynamix",bellevue,"13245 NE 20th St Bellevue, WA 98005","(425) 283-5766",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,1,0,0,,,,1,0,0,0,0,47.626479,-122.162124,1,rooftop,13245,"NE 20th St",,,Bellevue,WA,"King County",98005,US,King
39,39,7,"Sa-Go Auto Repair",bellevue,"13234 Bel-Red Rd Bellevue, WA 98005","(425) 746-3008",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.622971,-122.16275,1,rooftop,13234,"Bel Red Rd",,,Bellevue,WA,"King County",98005,US,King
40,40,5,"NorthWest Auto Center",bellevue,"13910 NE 20th St Bellevue, WA 98005","(425) 747-3402",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,1,0,0,,,,1,0,0,0,0,47.62873,-122.154904,1,rooftop,13910,"NE 20th St",,,Bellevue,WA,"King County",98005,US,King
41,41,5,"A&M Auto Repair Bellevue",bellevue,"13551 SE 27th Pl Bellevue, WA 98005","(425) 641-9455",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,1,0,0,,,,1,0,0,0,0,47.585939,-122.159915,1,rooftop,13551,"SE 27th Pl",,,Bellevue,WA,"King County",98005,US,King
42,42,3,"Europa Imported Service",bellevue,"12700 Bel-red Rd Bellevue, WA 98005","(425) 454-1432",king,0,0,1,Wednesday,15,0,0,0,0,804.15,,,,1,"Hazmat fee and tax extra; 10% new customer discount",additional_context,0,1,804.15,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,47.621581,-122.170782,1,rooftop,12700,"Bel Red Rd",,,Bellevue,WA,"King County",98005,US,King
43,43,1,"Park Place Service Center",bellevue,"1807 130th Ave NE Bellevue, WA 98005","(425) 746-5447",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.626611,-122.168844,1,rooftop,1807,"130th Ave NE",,,Bellevue,WA,"King County",98005,US,King
44,44,3,"Michael’s Auto Repair",redmond,"17443 NE 70th St Redmond, WA 98052","(425) 869-2419",king,0,0,1,Tuesday,13,0,0,0,1,,,,other,,"Will receive text message with quote - did not provide on text either",failed_callback,0,1,,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,47.666365,-122.107696,1,rooftop,17443,"NE 70th St",,,Redmond,WA,"King County",98052,US,King
45,45,5,"Arrows Automotive",seattle,"3922 7th Ave S Seattle, WA 98108","(206) 395-2016",king,0,1,1,Thursday,15,1,0,0,0,600,,,,0,,no_comment,0,1,600,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,47.568268,-122.323613,1,rooftop,3922,"7th Ave S",,,Seattle,WA,"King County",98108,US,King
46,46,1,"Sound Wheel Works",bellevue,"14320 NE 21st St Ste 10 Bellevue, WA 98007","(425) 449-8110",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.629068,-122.149269,1,rooftop,14320,"NE 21st St",Ste,10,Bellevue,WA,"King County",98007,US,King
47,47,3,"Eastside Automotive & Tire",kirkland,"12676 NE 85th St Kirkland, WA 98033","(425) 284-9974",king,0,0,1,Wednesday,16,0,0,0,0,625,,,,1,"Shop supplies, hazmat disposal, tax",additional_context,0,1,625,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,47.679686,-122.169759,1,rooftop,12676,"NE 85th St",,,Kirkland,WA,"King County",98033,US,King
48,48,7,AutoLogic,bellevue,"1407 132nd Ave NE Ste 3 Bellevue, WA 98005","(425) 455-2303",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.623375,-122.165064,1,rooftop,1407,"132nd Ave NE",Ste,3,Bellevue,WA,"King County",98005,US,King
49,49,5,"AA Auto Service Center",redmond,"8004 Avondale Way NE Redmond, WA 98052","(425) 305-2204",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,1,0,0,,,,1,0,0,0,0,47.675162,-122.107748,1,rooftop,8004,"Avondale Way NE",,,Redmond,WA,"King County",98052,US,King
50,50,3,"Dan Fast Muffler & Brake",bellevue,"12200 NE 12th St Bellevue, WA 98005","(425) 455-0404",king,1,0,1,Wednesday,15,0,0,0,0,900,,,,0,,no_comment,0,1,900,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,47.620374,-122.177348,1,rooftop,12200,"NE 12th St",,,Bellevue,WA,"King County",98005,US,King
51,51,1,"G & M Auto Repair, Service and Transmission",bellevue,"1517 134th Ave NE Bellevue, WA 98005","(425) 747-0122",king,0,1,1,Friday,12,0,0,0,1,900,,,,0,,no_comment,0,1,900,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,47.623514,-122.162301,1,rooftop,1517,"134th Ave NE",,,Bellevue,WA,"King County",98005,US,King
52,52,7,"Marks Japanese European Auto",bellevue,"1414 132nd Ave NE Bellevue, WA 98005","(425) 454-1881",king,1,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.623566,-122.163966,1,rooftop,1414,"132nd Ave NE",,,Bellevue,WA,"King County",98005,US,King
53,53,5,"C & M Auto",bellevue,"1630 136th Pl NE Ste B Bellevue, WA 98005","(425) 562-6564",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,1,0,0,,,,1,0,0,0,0,47.625256,-122.158065,1,rooftop,1630,"136th Pl NE",Ste,B,Bellevue,WA,"King County",98005,US,King
54,54,3,"Jay’s Kirkland Autocare",kirkland,"817 7th Ave Kirkland, WA 98033","(425) 822-3333",king,0,0,1,Tuesday,14,0,0,1,0,600,,,,0,,no_comment,0,1,600,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,47.68043,-122.192367,1,rooftop,817,"7th Ave",,,Kirkland,WA,"King County",98033,US,King
55,55,5,"Nielson Auto Repair",bellevue,"12700 Bel Red Rd Bellevue, WA 98005","(425) 643-4610",king,0,1,2,Thursday,16,,,,,,,,no_contact_after_2_tries,,,no_comment,0,1,,0,0,0,0,1,1,0,0,,,,0,0,1,0,0,47.621581,-122.170782,1,rooftop,12700,"Bel Red Rd",,,Bellevue,WA,"King County",98005,US,King
56,56,7,"Doug’s Auto Tune & Repair",kirkland,"11853 Slater Ave NE Kirkland, WA 98034","(425) 821-2277",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.706863,-122.172863,1,rooftop,11853,"Slater Ave NE",,,Kirkland,WA,"King County",98034,US,King
57,57,1,"Old Bellevue Chevron Auto Repair",bellevue,"10011 Main St Bellevue, WA 98004","(425) 454-1400",king,0,1,1,Wednesday,12,0,0,0,0,,,,other,,"failed call back",failed_callback,0,1,,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,47.609878,-122.206337,1,rooftop,10011,"Main St",,,Bellevue,WA,"King County",98004,US,King
58,58,7,"CPR European Auto Works",bellevue,"13622 NE 20th St Ste H Bellevue, WA 98005","(425) 644-6868",king,0,1,1,Friday,11,0,1,0,0,,,,does_not_provide_this_service,,"only works on european cars",does_not_perform_service,0,1,,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,47.628717,-122.157861,1,rooftop,13622,"NE 20th St",Ste,,Bellevue,WA,"King County",98005,US,King
59,59,5,"Newport Hills Chevron",bellevue,"5804 119th SE Bellevue, WA 98006","(425) 747-6991",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,1,0,0,,,,1,0,0,0,0,47.551326,-122.178804,0.8,rooftop,5804,"119th Ave SE",,,Bellevue,WA,"King County",98006,US,King
60,60,3,"Surrey North Auto Repair",bellevue,"12003 NE 12th St Bellevue, WA 98005","(425) 454-8971",king,0,0,1,Tuesday,15,1,0,,,,,,other,,"Mechanic not around - wait for a callback - left details",unable_to_provide_quote,0,1,,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,47.620018,-122.178858,1,rooftop,12003,"NE 12th St",,,Bellevue,WA,"King County",98005,US,King
61,61,5,"East Side Auto Care",redmond,"17525 NE 67th Ct Redmond, WA 98052","(425) 861-7777",king,0,1,2,Friday,11,0,0,0,0,,,,refused_to_provide_quote,,"Need to see car.",requires_physical_presence_or_additional_information,0,1,,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,47.664857,-122.106357,1,rooftop,17525,"NE 67th Ct",,,Redmond,WA,"King County",98052,US,King
62,62,5,"Newcastle Shell",newcastle,"6420 Lake Washington Blvd SE Newcastle, WA 98056","(425) 255-2754",king,0,1,2,Thursday,16,0,0,0,0,,,,refused_to_provide_quote,,"Need to see car.",requires_physical_presence_or_additional_information,0,1,,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,47.545178,-122.191239,1,rooftop,6420,"Lake Washington Blvd SE",,,Newcastle,WA,"King County",98056,US,King
63,63,1,"Ali’s Bellevue Auto Repair",bellevue,"12883 Northup Way Bellevue, WA 98005","(425) 450-9713",king,0,1,1,Thursday,12,1,0,1,1,900,,,,0,,no_comment,0,1,900,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,47.627751,-122.168207,1,rooftop,12883,"Northup Way",,,Bellevue,WA,"King County",98005,US,King
64,64,5,"Eastside Autoworks Auto Repair",bellevue,"14320 NE 21st St Ste 5 Bellevue, WA 98007","(425) 746-0162",king,0,1,2,Monday,10,0,0,0,0,700,,,,0,,no_comment,0,1,700,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,47.629068,-122.149269,1,rooftop,14320,"NE 21st St",Ste,5,Bellevue,WA,"King County",98007,US,King
65,65,7,"Len’s Automotive",bellevue,"1620 136th Pl NE Bellevue, WA 98005","(425) 641-4880",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.624936,-122.158205,1,rooftop,1620,"136th Pl NE",,,Bellevue,WA,"King County",98005,US,King
66,66,5,"Matt’s Greenwood Auto Care",seattle,"7900 Greenwood Ave N Seattle, WA 98103","(206) 789-1850",king,1,1,2,Monday,10,,,,,,,,no_contact_after_2_tries,,,no_comment,0,1,,0,0,0,0,1,1,0,0,,,,0,0,1,0,0,47.686428,-122.355036,1,rooftop,7900,"Greenwood Ave N",,,Seattle,WA,"King County",98103,US,King
67,67,7,"Lorz Automotive",seattle,"6901 Rainier Ave S Seattle, WA 98118","(206) 403-1915",king,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,47.540505,-122.271682,1,rooftop,6901,"Rainier Ave S",,,Seattle,WA,"King County",98118,US,King
68,68,3,"SK Motorsport",bellingham,"1926 Humboldt St Bellingham, WA 98225","(360) 714-9900",whatcom,0,0,1,Tuesday,14,0,0,0,1,800,,,,0,,no_comment,0,1,800,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,48.756287,-122.467416,1,rooftop,1926,"Humboldt St",,,Bellingham,WA,"Whatcom County",98225,US,Bellingham
69,69,5,"Sterling Automotive",bellingham,"1025 Pasco St Bellingham, WA 98225","(360) 933-4503",whatcom,0,1,1,Friday,10,0,0,0,0,731,,,,0,,no_comment,0,1,731,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,48.738929,-122.469263,1,rooftop,1025,"Pasco St",,,Bellingham,WA,"Whatcom County",98225,US,Bellingham
70,70,5,"Superior Auto Repair",bellingham,"1491 Old Samish Rd Bellingham, WA 98229","(360) 676-8855",whatcom,0,1,2,Friday,13,,,,,,,,no_contact_after_2_tries,,,no_comment,0,1,,0,0,0,0,1,1,0,0,,,,0,0,1,0,0,48.689482,-122.411692,1,rooftop,1491,"Old Samish Rd",,,Bellingham,WA,"Whatcom County",98229,US,Bellingham
71,71,1,"Joe’s Automotive Repair",bellingham,"605 Iowa St Bellingham, WA 98225","(360) 733-5220",whatcom,0,1,,,,,,,,,,,,,,no_comment,0,0,,0,0,0,0,1,0,0,0,,,,1,0,0,0,0,48.756722,-122.467521,1,rooftop,605,"Iowa St",,,Bellingham,WA,"Whatcom County",98225,US,Bellingham
72,72,1,"Premier Auto Repair",bellingham,"1999 Iowa St Bellingham, WA 98229","(360) 526-2569",whatcom,0,1,1,Wednesday,12,0,1,0,1,625,,,,0,"left message with quote",returned_call_with_quote,0,1,625,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,48.7566,-122.448628,1,rooftop,1999,"Iowa St",,,Bellingham,WA,"Whatcom County",98229,US,Bellingham
73,73,3,"Bellingham Automotive",bellingham,"4116 Hannegan Rd Bellingham, WA 98226","(360) 746-3866",whatcom,0,0,3,Tuesday,15,0,0,0,0,785,,,,0,"left message with quote",returned_call_with_quote,0,1,785,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,48.790315,-122.441976,1,rooftop,4116,"Hannegan Rd",,,Bellingham,WA,"Whatcom County",98226,US,Bellingham
